,subject,value,hemi,region,sex,age,yeo_label
322,48233,0.040919254168876484,right,151,M,1.988,SomatoMotor
323,49050,0.043787932026703495,right,151,F,1.993,SomatoMotor
324,49041,0.04057148326184136,right,151,M,1.996,SomatoMotor
325,49225,0.03821428262975672,right,151,F,1.999,SomatoMotor
326,47979,0.04510977324345753,right,151,M,2.001,SomatoMotor
327,49196,0.04242010192363861,right,151,F,2.004,SomatoMotor
328,48184,0.042268399020144454,right,151,M,2.007,SomatoMotor
329,49078,0.041069185355945295,right,151,M,2.01,SomatoMotor
330,42019,0.039527926718103755,right,151,M,3.816,SomatoMotor
331,41807,0.04131570950570741,right,151,M,3.904,SomatoMotor
332,41716,0.04099752743050233,right,151,M,3.907,SomatoMotor
333,41854,0.043540212737928005,right,151,M,3.915,SomatoMotor
334,41651,0.040860116462123085,right,151,M,3.948,SomatoMotor
335,41547,0.042749298096169744,right,151,M,3.973,SomatoMotor
336,41519,0.04317833956770065,right,151,M,3.981,SomatoMotor
337,41463,0.042253876851218064,right,151,M,4.074,SomatoMotor
338,41458,0.03920394462172058,right,151,M,4.112,SomatoMotor
339,40033,0.04125162770616679,right,151,M,5.899,SomatoMotor
340,39066,0.03953100455411007,right,151,M,6.877,SomatoMotor
341,44444,0.03832724901869626,right,151,F,7.149,SomatoMotor
342,37972,0.04132074532597425,right,151,M,8.016,SomatoMotor
343,36824,0.041940431361406925,right,151,M,9.775,SomatoMotor
344,36464,0.04101385736915853,right,151,M,9.945,SomatoMotor
345,36291,0.04442061812160349,right,151,M,10.036,SomatoMotor
346,41759,0.03813056175203663,right,151,F,10.259,SomatoMotor
347,41645,0.03735282070934901,right,151,F,10.322,SomatoMotor
348,41372,0.039376309338303224,right,151,F,10.957,SomatoMotor
349,41083,0.04303861145232767,right,151,F,11.154,SomatoMotor
350,40706,0.03927892484366893,right,151,F,11.231,SomatoMotor
351,34847,0.044474073599656515,right,151,M,12.027,SomatoMotor
352,39834,0.04137218846763327,right,151,F,12.255,SomatoMotor
353,39599,0.03953235333332723,right,151,F,12.329,SomatoMotor
354,34110,0.04259718483575546,right,151,M,12.929,SomatoMotor
355,39437,0.04061359884655436,right,151,F,13.005,SomatoMotor
356,33111,0.04088024513103194,right,151,M,13.992,SomatoMotor
357,32479,0.0409296555017101,right,151,M,14.921,SomatoMotor
358,32287,0.042918921109492164,right,151,M,14.984,SomatoMotor
359,37169,0.0403206018876865,right,151,F,15.107,SomatoMotor
360,37693,0.03862534238891148,right,151,F,15.14,SomatoMotor
361,36831,0.038324910504979035,right,151,F,15.775,SomatoMotor
362,36374,0.03999560709888676,right,151,F,15.836,SomatoMotor
363,36422,0.041378934157040276,right,151,M,15.932,SomatoMotor
364,36574,0.041220824407810545,right,151,M,16.041,SomatoMotor
365,36657,0.03972925834096717,right,151,F,16.255,SomatoMotor
366,36352,0.044458102072093636,right,151,M,16.444,SomatoMotor
367,35949,0.041225087480966545,right,151,M,16.956,SomatoMotor
368,35671,0.039225904029325485,right,151,F,16.992,SomatoMotor
369,35545,0.040061663649736255,right,151,F,17.129,SomatoMotor
370,35580,0.03985923750364797,right,151,M,17.273,SomatoMotor
371,35306,0.04065690366817953,right,151,M,17.614,SomatoMotor
372,34839,0.042457445625250285,right,151,F,18.022,SomatoMotor
373,35241,0.041802281439072775,right,151,F,18.114,SomatoMotor
374,34884,0.039392165979695144,right,151,M,18.311,SomatoMotor
375,33825,0.043382051024506325,right,151,M,18.855,SomatoMotor
376,33734,0.04083911348661889,right,151,M,19.082,SomatoMotor
377,35253,0.04124548821586081,right,151,M,19.154,SomatoMotor
378,33278,0.04379042705733305,right,151,F,19.764,SomatoMotor
379,33199,0.043860301450368414,right,151,F,19.901,SomatoMotor
380,33002,0.04045288685285677,right,151,F,20.339,SomatoMotor
381,33882,0.04390627134378576,right,151,F,21.607,SomatoMotor
382,32924,0.04177328637380567,right,151,F,22.563,SomatoMotor
383,29949,0.0423527326985092,right,151,F,26.428,SomatoMotor
384,49134,0.044334670242636265,left,20,F,1.131,Visual
385,49112,0.04229754998187856,left,20,F,1.982,Visual
386,48233,0.04614467156012634,left,20,M,1.988,Visual
387,49050,0.04552383141752638,left,20,F,1.993,Visual
388,49041,0.0459823872504311,left,20,M,1.996,Visual
389,49225,0.044192805279902755,left,20,F,1.999,Visual
390,47979,0.04776751019137618,left,20,M,2.001,Visual
391,49196,0.04746253231870257,left,20,F,2.004,Visual
392,48184,0.04842063868963937,left,20,M,2.007,Visual
393,49078,0.04262294190744436,left,20,M,2.01,Visual
394,42019,0.043567996836761644,left,20,M,3.816,Visual
395,41807,0.04222213013097086,left,20,M,3.904,Visual
396,41716,0.04511095665061694,left,20,M,3.907,Visual
397,41854,0.04507183123805385,left,20,M,3.915,Visual
398,41651,0.04044185288788767,left,20,M,3.948,Visual
399,41547,0.043284488533765,left,20,M,3.973,Visual
400,41519,0.04486615339475021,left,20,M,3.981,Visual
401,41463,0.04779011812263059,left,20,M,4.074,Visual
402,41458,0.04437509378129042,left,20,M,4.112,Visual
403,40033,0.04319258549519117,left,20,M,5.899,Visual
404,39066,0.04263172798089996,left,20,M,6.877,Visual
405,44444,0.0437498957745251,left,20,F,7.149,Visual
406,37972,0.04835419089269678,left,20,M,8.016,Visual
407,36824,0.04547798289905155,left,20,M,9.775,Visual
408,36464,0.04432936960744554,left,20,M,9.945,Visual
409,36291,0.05080734945885279,left,20,M,10.036,Visual
410,41759,0.04493386262880212,left,20,F,10.259,Visual
411,41645,0.043562552498889434,left,20,F,10.322,Visual
412,41372,0.041756431477605556,left,20,F,10.957,Visual
413,41083,0.043389068543487626,left,20,F,11.154,Visual
414,40706,0.04210741638438596,left,20,F,11.231,Visual
415,34847,0.04556817310983561,left,20,M,12.027,Visual
416,39834,0.04530594639933375,left,20,F,12.255,Visual
417,39599,0.0450732424811981,left,20,F,12.329,Visual
418,34110,0.045923052329747145,left,20,M,12.929,Visual
419,39437,0.04628968758350997,left,20,F,13.005,Visual
420,33111,0.047375842288424994,left,20,M,13.992,Visual
421,32479,0.04939409285751282,left,20,M,14.921,Visual
422,32287,0.04366495487580993,left,20,M,14.984,Visual
423,37169,0.042298844409062994,left,20,F,15.107,Visual
424,37693,0.043935616585354095,left,20,F,15.14,Visual
425,36831,0.044643968923871874,left,20,F,15.775,Visual
426,36374,0.04494395606277899,left,20,F,15.836,Visual
427,36422,0.04456675277792718,left,20,M,15.932,Visual
428,36574,0.043875837899592186,left,20,M,16.041,Visual
429,36657,0.04529083904202953,left,20,F,16.255,Visual
430,36352,0.04796784221029546,left,20,M,16.444,Visual
431,35949,0.046044933269869026,left,20,M,16.956,Visual
432,35671,0.04480668076744297,left,20,F,16.992,Visual
433,35545,0.04209055244362007,left,20,F,17.129,Visual
434,35580,0.04775550358199924,left,20,M,17.273,Visual
435,35306,0.04706146511733752,left,20,M,17.614,Visual
436,34839,0.043225749946969316,left,20,F,18.022,Visual
437,35241,0.0437687091390651,left,20,F,18.114,Visual
438,34884,0.045118993844611315,left,20,M,18.311,Visual
439,33825,0.04871160735357801,left,20,M,18.855,Visual
440,33734,0.04615878840743859,left,20,M,19.082,Visual
441,35253,0.04403840664975564,left,20,M,19.154,Visual
442,33278,0.044999294759209614,left,20,F,19.764,Visual
443,33199,0.04318236257438383,left,20,F,19.901,Visual
444,33002,0.043712301871896043,left,20,F,20.339,Visual
445,33882,0.044606528791087736,left,20,F,21.607,Visual
446,32924,0.043270376512800475,left,20,F,22.563,Visual
447,29949,0.04739444482623012,left,20,F,26.428,Visual
448,49134,0.04258660611690956,right,20,F,1.131,Visual
449,49112,0.044442165593382474,right,20,F,1.982,Visual
450,48233,0.04822521320729521,right,20,M,1.988,Visual
451,49050,0.047217443210075594,right,20,F,1.993,Visual
452,49041,0.046482547726784965,right,20,M,1.996,Visual
453,49225,0.04437228628288505,right,20,F,1.999,Visual
454,47979,0.04632239596012663,right,20,M,2.001,Visual
